Age,Gender,Disability,MaritalStatus,Caste,Aadhaar,Mobile,District,Scheme
53,Male,1,Single,GEN,1,0,ANANTNAG,IGNDPS
28,Female,1,Single,GEN,1,1,ANANTNAG,IGNDPS
46,Male,1,Single,GEN,1,0,ANANTNAG,IGNDPS
58,Male,1,Married,GEN,1,1,ANANTNAG,IGNDPS
19,Male,1,Married,GEN,1,0,ANANTNAG,IGNDPS
25,Male,1,Married,GEN,1,0,ANANTNAG,IGNDPS
31,Male,1,Married,GEN,1,1,ANANTNAG,IGNDPS
39,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
19,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
41,Male,1,Married,GEN,1,0,ANANTNAG,IGNDPS
48,Male,1,Married,GEN,1,1,ANANTNAG,IGNDPS
50,Male,1,Single,ST,1,1,ANANTNAG,IGNDPS
46,Female,1,Married,GEN,1,0,ANANTNAG,IGNDPS
38,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
50,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
27,Male,1,Married,GEN,1,1,ANANTNAG,IGNDPS
38,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
21,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
34,Female,1,Single,GEN,1,0,ANANTNAG,IGNDPS
28,Female,1,Married,GEN,1,1,ANANTNAG,IGNDPS
56,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
56,Female,1,Single,GEN,1,0,ANANTNAG,IGNDPS
42,Female,1,Single,GEN,1,1,ANANTNAG,IGNDPS
43,Male,1,Married,GEN,1,1,ANANTNAG,IGNDPS
60,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
38,Female,1,Married,GEN,1,0,ANANTNAG,IGNDPS
35,Male,1,Married,GEN,1,0,ANANTNAG,IGNDPS
58,Male,1,Single,OBC,1,1,ANANTNAG,IGNDPS
29,Male,1,Married,GEN,1,0,ANANTNAG,IGNDPS
60,Male,1,Married,GEN,1,1,ANANTNAG,IGNDPS
27,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
55,Male,1,Single,GEN,1,0,ANANTNAG,IGNDPS
23,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
57,Male,1,Married,ST,1,1,ANANTNAG,IGNDPS
49,Male,1,Married,GEN,1,0,ANANTNAG,IGNDPS
47,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
59,Male,1,Single,GEN,1,0,ANANTNAG,IGNDPS
22,Male,1,Married,GEN,1,0,ANANTNAG,IGNDPS
43,Female,1,Single,OBC,1,0,ANANTNAG,IGNDPS
37,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
51,Female,1,Married,GEN,1,0,ANANTNAG,IGNDPS
55,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
36,Female,1,Married,GEN,1,1,ANANTNAG,IGNDPS
29,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
57,Male,1,Single,GEN,1,0,ANANTNAG,IGNDPS
21,Female,1,Single,GEN,1,1,ANANTNAG,IGNDPS
34,Female,1,Married,GEN,1,1,ANANTNAG,IGNDPS
48,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
57,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
35,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
23,Female,1,Single,GEN,1,0,ANANTNAG,IGNDPS
45,Female,1,Married,GEN,1,1,ANANTNAG,IGNDPS
43,Male,1,Single,GEN,1,0,ANANTNAG,IGNDPS
55,Male,1,Married,GEN,1,0,ANANTNAG,IGNDPS
47,Male,1,Married,GEN,1,0,ANANTNAG,IGNDPS
54,Female,1,Married,GEN,1,1,ANANTNAG,IGNDPS
35,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
28,Female,1,Married,GEN,1,1,ANANTNAG,IGNDPS
31,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
57,Female,1,Single,GEN,1,0,ANANTNAG,IGNDPS
28,Female,1,Single,GEN,1,0,ANANTNAG,IGNDPS
37,Male,1,Married,GEN,1,1,ANANTNAG,IGNDPS
39,Female,1,Single,GEN,1,1,ANANTNAG,IGNDPS
53,Male,1,Married,GEN,1,0,ANANTNAG,IGNDPS
54,Male,1,Married,GEN,1,1,ANANTNAG,IGNDPS
31,Male,1,Married,GEN,1,0,ANANTNAG,IGNDPS
27,Male,1,Married,GEN,1,1,ANANTNAG,IGNDPS
25,Female,1,Single,GEN,1,0,ANANTNAG,IGNDPS
56,Male,1,Married,GEN,1,0,ANANTNAG,IGNDPS
51,Male,1,Single,GEN,1,0,ANANTNAG,IGNDPS
58,Male,1,Single,GEN,1,0,ANANTNAG,IGNDPS
28,Female,1,Single,GEN,1,0,ANANTNAG,IGNDPS
53,Female,1,Single,GEN,1,0,ANANTNAG,IGNDPS
19,Male,1,Married,GEN,1,1,ANANTNAG,IGNDPS
22,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
24,Male,1,Married,GEN,1,1,ANANTNAG,IGNDPS
58,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
57,Male,1,Married,GEN,1,0,ANANTNAG,IGNDPS
50,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
18,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
34,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
29,Female,1,Married,GEN,1,1,ANANTNAG,IGNDPS
28,Male,1,Married,GEN,1,1,ANANTNAG,IGNDPS
25,Male,1,Single,GEN,1,0,ANANTNAG,IGNDPS
18,Male,1,Married,GEN,1,0,ANANTNAG,IGNDPS
54,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
32,Male,1,Married,GEN,1,1,ANANTNAG,IGNDPS
25,Female,1,Married,GEN,1,0,ANANTNAG,IGNDPS
43,Female,1,Married,GEN,1,1,ANANTNAG,IGNDPS
18,Female,1,Single,GEN,1,0,ANANTNAG,IGNDPS
26,Male,1,Married,GEN,1,0,ANANTNAG,IGNDPS
23,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
54,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
44,Male,1,Married,GEN,1,0,ANANTNAG,IGNDPS
57,Male,1,Single,GEN,1,1,ANANTNAG,IGNDPS
53,Male,1,Married,GEN,1,1,ANANTNAG,IGNDPS
19,Male,1,Married,ST,1,1,ANANTNAG,IGNDPS
56,Male,1,Single,GEN,1,0,ANANTNAG,IGNDPS
53,Male,1,Single,GEN,1,0,ANANTNAG,IGNDPS
50,Female,1,Single,GEN,1,1,ANANTNAG,IGNDPS
72,Male,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
87,Female,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
67,Male,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
